datetime,station,core,component,period,value,sensor_station
2021-02-01,mc042,pm10,pm10_24h,24h,32.0,neukoln
2021-02-01,mc042,pm2,pm2_24h,24h,28.0,neukoln
2021-02-01,mc042,no2,no2_24h,24h,30.0,neukoln
2021-02-01,mc042,no,no_24h,24h,3.0,neukoln
2021-02-01,mc042,nox,nox_24h,24h,35.0,neukoln
2021-02-01,mc042,o3,o3_24h,24h,32.0,neukoln
2021-02-01,mc042,chb,chb_24h,24h,2.0,neukoln
2021-02-01,mc042,cht,cht_24h,24h,1.3,neukoln
2021-01-31,mc042,pm10,pm10_24h,24h,21.0,neukoln
2021-01-31,mc042,pm2,pm2_24h,24h,19.0,neukoln
2021-01-31,mc042,no2,no2_24h,24h,33.0,neukoln
2021-01-31,mc042,no,no_24h,24h,8.0,neukoln
2021-01-31,mc042,nox,nox_24h,24h,45.0,neukoln
2021-01-31,mc042,o3,o3_24h,24h,19.0,neukoln
2021-01-31,mc042,chb,chb_24h,24h,1.7,neukoln
2021-01-31,mc042,cht,cht_24h,24h,1.5,neukoln
2021-01-30,mc042,pm10,pm10_24h,24h,15.0,neukoln
2021-01-30,mc042,pm2,pm2_24h,24h,13.0,neukoln
2021-01-30,mc042,no2,no2_24h,24h,19.0,neukoln
2021-01-30,mc042,no,no_24h,24h,2.0,neukoln
2021-01-30,mc042,nox,nox_24h,24h,22.0,neukoln
2021-01-30,mc042,o3,o3_24h,24h,35.0,neukoln
2021-01-30,mc042,chb,chb_24h,24h,1.4,neukoln
2021-01-30,mc042,cht,cht_24h,24h,1.3,neukoln
2021-01-29,mc042,pm10,pm10_24h,24h,14.0,neukoln
2021-01-29,mc042,pm2,pm2_24h,24h,10.0,neukoln
2021-01-29,mc042,no2,no2_24h,24h,18.0,neukoln
2021-01-29,mc042,no,no_24h,24h,2.0,neukoln
2021-01-29,mc042,nox,nox_24h,24h,21.0,neukoln
2021-01-29,mc042,o3,o3_24h,24h,36.0,neukoln
2021-01-29,mc042,chb,chb_24h,24h,1.0,neukoln
2021-01-29,mc042,cht,cht_24h,24h,0.9,neukoln
2021-01-28,mc042,pm10,pm10_24h,24h,14.0,neukoln
2021-01-28,mc042,pm2,pm2_24h,24h,11.0,neukoln
2021-01-28,mc042,no2,no2_24h,24h,20.0,neukoln
2021-01-28,mc042,no,no_24h,24h,3.0,neukoln
2021-01-28,mc042,nox,nox_24h,24h,24.0,neukoln
2021-01-28,mc042,o3,o3_24h,24h,34.0,neukoln
2021-01-28,mc042,chb,chb_24h,24h,0.9,neukoln
2021-01-28,mc042,cht,cht_24h,24h,1.3,neukoln
2021-01-27,mc042,pm10,pm10_24h,24h,22.0,neukoln
2021-01-27,mc042,pm2,pm2_24h,24h,18.0,neukoln
2021-01-27,mc042,no2,no2_24h,24h,25.0,neukoln
2021-01-27,mc042,no,no_24h,24h,4.0,neukoln
2021-01-27,mc042,nox,nox_24h,24h,31.0,neukoln
2021-01-27,mc042,o3,o3_24h,24h,28.0,neukoln
2021-01-27,mc042,chb,chb_24h,24h,0.9,neukoln
2021-01-27,mc042,cht,cht_24h,24h,1.1,neukoln
2021-01-26,mc042,pm10,pm10_24h,24h,26.0,neukoln
2021-01-26,mc042,pm2,pm2_24h,24h,22.0,neukoln
2021-01-26,mc042,no2,no2_24h,24h,28.0,neukoln
2021-01-26,mc042,no,no_24h,24h,6.0,neukoln
2021-01-26,mc042,nox,nox_24h,24h,38.0,neukoln
2021-01-26,mc042,o3,o3_24h,24h,26.0,neukoln
2021-01-26,mc042,chb,chb_24h,24h,1.0,neukoln
2021-01-26,mc042,cht,cht_24h,24h,1.5,neukoln
2021-01-25,mc042,pm10,pm10_24h,24h,20.0,neukoln
2021-01-25,mc042,pm2,pm2_24h,24h,17.0,neukoln
2021-01-25,mc042,no2,no2_24h,24h,22.0,neukoln
2021-01-25,mc042,no,no_24h,24h,3.0,neukoln
2021-01-25,mc042,nox,nox_24h,24h,26.0,neukoln
2021-01-25,mc042,o3,o3_24h,24h,34.0,neukoln
2021-01-25,mc042,chb,chb_24h,24h,0.9,neukoln
2021-01-25,mc042,cht,cht_24h,24h,1.3,neukoln
2021-01-24,mc042,pm10,pm10_24h,24h,17.0,neukoln
2021-01-24,mc042,pm2,pm2_24h,24h,15.0,neukoln
2021-01-24,mc042,no2,no2_24h,24h,20.0,neukoln
2021-01-24,mc042,no,no_24h,24h,1.0,neukoln
2021-01-24,mc042,nox,nox_24h,24h,22.0,neukoln
2021-01-24,mc042,o3,o3_24h,24h,33.0,neukoln
2021-01-24,mc042,chb,chb_24h,24h,1.1,neukoln
2021-01-24,mc042,cht,cht_24h,24h,1.2,neukoln
2021-01-23,mc042,pm10,pm10_24h,24h,21.0,neukoln
2021-01-23,mc042,pm2,pm2_24h,24h,18.0,neukoln
2021-01-23,mc042,no2,no2_24h,24h,33.0,neukoln
2021-01-23,mc042,no,no_24h,24h,3.0,neukoln
2021-01-23,mc042,nox,nox_24h,24h,38.0,neukoln
2021-01-23,mc042,o3,o3_24h,24h,18.0,neukoln
2021-01-23,mc042,chb,chb_24h,24h,1.2,neukoln
2021-01-23,mc042,cht,cht_24h,24h,1.8,neukoln
2021-01-22,mc042,pm10,pm10_24h,24h,9.0,neukoln
2021-01-22,mc042,pm2,pm2_24h,24h,6.0,neukoln
2021-01-22,mc042,no2,no2_24h,24h,21.0,neukoln
2021-01-22,mc042,no,no_24h,24h,2.0,neukoln
2021-01-22,mc042,nox,nox_24h,24h,24.0,neukoln
2021-01-22,mc042,o3,o3_24h,24h,49.0,neukoln
2021-01-22,mc042,chb,chb_24h,24h,0.7,neukoln
2021-01-22,mc042,cht,cht_24h,24h,0.9,neukoln
2021-01-21,mc042,pm10,pm10_24h,24h,9.0,neukoln
2021-01-21,mc042,pm2,pm2_24h,24h,6.0,neukoln
2021-01-21,mc042,no2,no2_24h,24h,18.0,neukoln
2021-01-21,mc042,no,no_24h,24h,1.0,neukoln
2021-01-21,mc042,nox,nox_24h,24h,20.0,neukoln
2021-01-21,mc042,o3,o3_24h,24h,50.0,neukoln
2021-01-21,mc042,chb,chb_24h,24h,0.7,neukoln
2021-01-21,mc042,cht,cht_24h,24h,0.8,neukoln
2021-01-20,mc042,pm10,pm10_24h,24h,12.0,neukoln
2021-01-20,mc042,pm2,pm2_24h,24h,9.0,neukoln
2021-01-20,mc042,no2,no2_24h,24h,21.0,neukoln
2021-01-20,mc042,no,no_24h,24h,2.0,neukoln
2021-01-20,mc042,nox,nox_24h,24h,24.0,neukoln
2021-01-20,mc042,o3,o3_24h,24h,39.0,neukoln
2021-01-20,mc042,chb,chb_24h,24h,0.8,neukoln
2021-01-20,mc042,cht,cht_24h,24h,1.0,neukoln
2021-01-19,mc042,pm10,pm10_24h,24h,14.0,neukoln
2021-01-19,mc042,pm2,pm2_24h,24h,12.0,neukoln
2021-01-19,mc042,no2,no2_24h,24h,20.0,neukoln
2021-01-19,mc042,no,no_24h,24h,3.0,neukoln
2021-01-19,mc042,nox,nox_24h,24h,24.0,neukoln
2021-01-19,mc042,o3,o3_24h,24h,34.0,neukoln
2021-01-19,mc042,chb,chb_24h,24h,0.8,neukoln
2021-01-19,mc042,cht,cht_24h,24h,1.0,neukoln
2021-01-18,mc042,pm10,pm10_24h,24h,29.0,neukoln
2021-01-18,mc042,pm2,pm2_24h,24h,26.0,neukoln
