datetime,source_id,precipitation,pressure_msl,sunshine,temperature,wind_direction,wind_speed,cloud_cover,dew_point,relative_humidity,visibility,wind_gust_direction,wind_gust_speed,sensor_station,station,core,component,period,pm10
2019-01-01,151883.0,0.04583333333333334,1016.8745833333334,3.5,6.520833333333333,273.3333333333333,30.037499999999998,93.16666666666667,3.3833333333333333,80.66666666666667,19775.0,271.6666666666667,52.074999999999996,010 Wedding,mc010,pm10,pm10_24h,24h,16.0
2019-01-02,151883.0,0.008333333333333333,1023.8354166666667,5.833333333333333,1.8625,321.6666666666667,19.545833333333334,47.25,-4.8,62.208333333333336,41375.0,291.25,39.84166666666667,010 Wedding,mc010,pm10,pm10_24h,24h,10.0
2019-01-03,151883.0,0.0,1032.87375,0.1111111111111111,-0.5166666666666667,302.9166666666667,10.083333333333334,58.625,-3.420833333333333,80.79166666666667,44125.0,303.75,18.962500000000002,010 Wedding,mc010,pm10,pm10_24h,24h,9.0
2019-01-04,151883.0,0.004166666666666667,1027.3941666666667,0.0,1.6708333333333334,272.0833333333333,15.0375,95.66666666666667,0.9375,94.83333333333333,16341.666666666666,274.5833333333333,24.816666666666666,010 Wedding,mc010,pm10,pm10_24h,24h,14.0
2019-01-05,151883.0,0.04583333333333334,1020.0166666666668,1.6111111111111112,6.0249999999999995,307.0833333333333,13.4,92.04166666666667,4.4375,89.66666666666667,22241.666666666668,276.25,26.766666666666666,010 Wedding,mc010,pm10,pm10_24h,24h,8.0
2019-01-06,151883.0,0.0,1027.9408333333333,1.2222222222222223,1.8583333333333334,311.6666666666667,6.704166666666667,86.54166666666667,-0.17916666666666667,86.5,37208.333333333336,295.8333333333333,13.183333333333332,010 Wedding,mc010,pm10,pm10_24h,24h,10.0
2019-01-07,151883.0,0.17500000000000002,1024.935,0.0,3.3083333333333336,225.0,11.041666666666666,95.75,2.7458333333333336,96.125,8270.833333333334,228.33333333333334,18.0625,010 Wedding,mc010,pm10,pm10_24h,24h,13.0
2019-01-08,151883.0,0.4083333333333334,1001.2458333333334,0.0,4.866666666666666,262.9166666666667,26.21666666666667,91.04166666666667,3.4916666666666667,90.79166666666667,17125.0,261.6666666666667,45.00416666666666,010 Wedding,mc010,pm10,pm10_24h,24h,6.0
2019-01-09,151883.0,0.09583333333333333,1007.0958333333333,0.0,2.066666666666667,333.3333333333333,19.454166666666666,100.0,0.8333333333333334,91.5,15916.666666666666,322.5,37.6875,010 Wedding,mc010,pm10,pm10_24h,24h,4.0
2019-01-10,151883.0,0.0,1022.3612499999999,2.6666666666666665,0.9958333333333332,330.8333333333333,11.854166666666666,86.625,-1.8541666666666667,81.41666666666667,42375.0,314.5833333333333,23.133333333333336,010 Wedding,mc010,pm10,pm10_24h,24h,6.0
2019-01-11,151883.0,0.016666666666666666,1016.5500000000001,0.0,2.4291666666666667,253.33333333333334,17.041666666666668,99.45833333333333,1.4291666666666665,93.08333333333333,13950.0,252.91666666666666,26.52916666666667,010 Wedding,mc010,pm10,pm10_24h,24h,13.0
2019-01-12,151883.0,0.16666666666666666,1009.8458333333333,0.0,4.954166666666667,267.0833333333333,21.145833333333332,98.91666666666667,3.2083333333333335,88.5,14187.5,266.25,35.12916666666667,010 Wedding,mc010,pm10,pm10_24h,24h,14.0
2019-01-13,151883.0,0.2833333333333334,995.1083333333332,0.0,6.308333333333334,264.1666666666667,25.808333333333334,96.79166666666667,4.941666666666666,90.95833333333333,16770.833333333332,265.4166666666667,41.72083333333333,010 Wedding,mc010,pm10,pm10_24h,24h,5.0
2019-01-14,151883.0,0.0,1000.8791666666666,10.444444444444445,2.3958333333333335,293.75,27.55,54.416666666666664,-3.4875000000000003,65.5,41500.0,292.9166666666667,50.449999999999996,010 Wedding,mc010,pm10,pm10_24h,24h,10.0
2019-01-15,151883.0,0.0375,1008.7458333333334,0.0,3.9375,269.5833333333333,29.650000000000002,95.70833333333333,1.5208333333333333,84.5,24458.333333333332,267.0833333333333,47.800000000000004,010 Wedding,mc010,pm10,pm10_24h,24h,14.0
2019-01-16,151883.0,0.008333333333333333,1006.1999999999999,0.0,6.3125,238.75,24.5125,98.91666666666667,3.3958333333333335,81.75,31750.0,237.91666666666666,38.354166666666664,010 Wedding,mc010,pm10,pm10_24h,24h,14.0
2019-01-17,151883.0,0.02916666666666667,999.4875000000001,2.5555555555555554,4.579166666666667,237.5,23.116666666666664,90.5,0.9666666666666667,77.625,35583.333333333336,237.5,37.733333333333334,010 Wedding,mc010,pm10,pm10_24h,24h,11.0
2019-01-18,151883.0,0.041666666666666664,1015.2541666666666,22.11111111111111,0.35000000000000003,275.8333333333333,16.7,64.375,-2.7541666666666664,80.04166666666667,36937.5,276.6666666666667,29.679166666666664,010 Wedding,mc010,pm10,pm10_24h,24h,9.0
2019-01-19,151883.0,0.0,1020.3041666666667,16.27777777777778,0.28750000000000003,209.16666666666666,5.520833333333333,57.041666666666664,-2.6,81.08333333333333,24458.333333333332,207.08333333333334,10.320833333333333,010 Wedding,mc010,pm10,pm10_24h,24h,23.0
2019-01-20,151883.0,0.0,1020.4579166666666,22.0,-2.6999999999999997,82.5,6.079166666666667,36.333333333333336,-4.529166666666667,87.45833333333333,11833.333333333334,90.83333333333333,11.116666666666667,010 Wedding,mc010,pm10,pm10_24h,24h,36.0
2019-01-21,151883.0,0.0,1021.9408333333334,11.666666666666666,-3.154166666666667,222.5,10.308333333333334,86.83333333333333,-4.983333333333333,87.41666666666667,8600.0,212.5,17.529166666666665,010 Wedding,mc010,pm10,pm10_24h,24h,35.0
2019-01-22,151883.0,0.0,1012.4125,17.333333333333332,-2.6374999999999997,154.16666666666666,11.0,48.166666666666664,-6.104166666666667,77.66666666666667,13875.0,155.0,18.491666666666667,010 Wedding,mc010,pm10,pm10_24h,24h,44.0
2019-01-23,151883.0,0.0,1006.4791666666666,2.111111111111111,-5.358333333333333,105.0,18.599999999999998,77.875,-8.066666666666666,81.29166666666667,7429.166666666667,107.5,30.554166666666664,010 Wedding,mc010,pm10,pm10_24h,24h,57.0
2019-01-24,151883.0,0.0,1012.9250000000001,0.0,-3.8249999999999997,99.58333333333333,12.4,99.45833333333333,-7.954166666666667,73.0,14041.666666666666,103.33333333333333,22.679166666666664,010 Wedding,mc010,pm10,pm10_24h,24h,37.0
2019-01-25,151883.0,0.0,1014.5041666666666,0.7777777777777778,-3.654166666666667,203.75,8.6625,94.16666666666667,-7.279166666666666,76.125,13716.666666666666,198.33333333333334,14.495833333333332,010 Wedding,mc010,pm10,pm10_24h,24h,35.0
2019-01-26,151883.0,0.19166666666666665,1002.4375,0.0,0.7541666666666668,201.25,9.595833333333333,100.0,0.12916666666666665,95.625,7110.416666666667,206.66666666666666,16.679166666666667,010 Wedding,mc010,pm10,pm10_24h,24h,21.0
2019-01-27,151883.0,0.03333333333333333,990.0500000000001,0.0,4.395833333333333,183.33333333333334,14.666666666666666,94.04166666666667,2.591666666666667,87.95833333333333,28208.333333333332,178.33333333333334,24.5625,010 Wedding,mc010,pm10,pm10_24h,24h,10.0
2019-01-28,151883.0,0.09999999999999999,991.475,14.222222222222221,3.3333333333333335,217.08333333333334,12.799999999999999,86.29166666666667,1.3375000000000001,87.25,22791.666666666668,215.0,21.75,010 Wedding,mc010,pm10,pm10_24h,24h,11.0
2019-01-29,151883.0,0.008333333333333333,1002.6958333333333,0.2222222222222222,1.1875,246.66666666666666,13.679166666666667,88.875,-0.5375,88.29166666666667,23895.833333333332,242.91666666666666,23.212500000000002,010 Wedding,mc010,pm10,pm10_24h,24h,15.0
2019-01-30,151883.0,0.0,1000.85,17.72222222222222,0.2916666666666667,117.08333333333333,18.016666666666666,61.666666666666664,-3.3708333333333336,77.33333333333333,22250.0,117.5,30.34166666666667,010 Wedding,mc010,pm10,pm10_24h,24h,24.0
2019-01-31,151883.0,0.0,1000.4791666666666,6.277777777777778,1.0,126.66666666666667,11.483333333333334,70.04166666666667,-2.829166666666667,75.875,22750.0,129.16666666666666,18.9375,010 Wedding,mc010,pm10,pm10_24h,24h,36.0
2019-02-01,151883.0,0.0,996.9499999999999,0.0,-0.06666666666666665,100.83333333333333,13.333333333333334,75.95833333333333,-3.1166666666666667,80.08333333333333,10875.0,105.0,22.795833333333334,010 Wedding,mc010,pm10,pm10_24h,24h,47.0
2019-02-02,151883.0,0.13749999999999998,997.6333333333333,0.0,0.5416666666666666,158.33333333333334,9.174999999999999,100.0,-0.08750000000000001,95.66666666666667,3341.6666666666665,145.83333333333334,15.954166666666666,010 Wedding,mc010,pm10,pm10_24h,24h,52.0
2019-02-03,151883.0,0.0,1013.8625000000001,0.0,1.0333333333333334,302.5,10.845833333333333,98.91666666666667,0.25,94.625,9022.916666666666,304.5833333333333,21.020833333333332,010 Wedding,mc010,pm10,pm10_24h,24h,25.0
2019-02-04,151883.0,0.0,1026.76125,22.055555555555557,0.9333333333333335,227.08333333333334,12.725000000000001,56.0,-2.004166666666667,81.91666666666667,20875.0,225.41666666666666,20.929166666666667,010 Wedding,mc010,pm10,pm10_24h,24h,17.0
2019-02-05,151883.0,0.004166666666666667,1026.0733333333335,0.0,2.3208333333333333,228.75,16.129166666666666,96.83333333333333,-1.25,77.29166666666667,25625.0,227.91666666666666,25.758333333333336,010 Wedding,mc010,pm10,pm10_24h,24h,16.0
2019-02-06,151883.0,0.0,1024.6116666666667,12.777777777777779,3.5875,198.33333333333334,14.0875,85.625,-0.7416666666666667,73.54166666666667,20791.666666666668,195.0,23.150000000000002,010 Wedding,mc010,pm10,pm10_24h,24h,23.0
2019-02-07,151883.0,0.016666666666666666,1012.8833333333333,3.388888888888889,3.079166666666667,182.08333333333334,14.283333333333333,81.375,-2.4625,67.45833333333333,28416.666666666668,185.83333333333334,24.583333333333332,010 Wedding,mc010,pm10,pm10_24h,24h,22.0
2019-02-08,151883.0,0.0,1013.0124999999999,8.222222222222221,5.7124999999999995,206.25,20.400000000000002,68.45833333333333,1.25,73.29166666666667,32625.0,207.5,33.49583333333333,010 Wedding,mc010,pm10,pm10_24h,24h,18.0
2019-02-09,151883.0,0.05416666666666667,1004.5916666666667,10.88888888888889,7.845833333333334,214.16666666666666,27.945833333333336,75.95833333333333,1.5041666666666667,64.66666666666667,43416.666666666664,214.16666666666666,48.24583333333334,010 Wedding,mc010,pm10,pm10_24h,24h,9.0
2019-02-10,151883.0,0.42083333333333334,997.6583333333333,0.0,6.695833333333333,189.16666666666666,20.7625,79.0,3.9416666666666664,82.66666666666667,34541.666666666664,191.25,35.35,010 Wedding,mc010,pm10,pm10_24h,24h,8.0
2019-02-11,151883.0,0.08333333333333333,1006.3041666666667,3.9444444444444446,4.370833333333334,285.8333333333333,24.8125,58.541666666666664,0.00833333333333334,74.41666666666667,37083.333333333336,278.75,45.8125,010 Wedding,mc010,pm10,pm10_24h,24h,7.0
2019-02-12,151883.0,0.0,1027.0108333333333,13.444444444444445,2.9416666666666664,289.1666666666667,16.383333333333333,54.916666666666664,-1.9958333333333333,70.54166666666667,40416.666666666664,284.5833333333333,28.9875,010 Wedding,mc010,pm10,pm10_24h,24h,11.0
2019-02-13,151883.0,0.008333333333333333,1031.5779166666666,0.0,6.054166666666667,257.9166666666667,20.474999999999998,100.0,4.5125,89.91666666666667,8820.833333333334,260.0,31.7,010 Wedding,mc010,pm10,pm10_24h,24h,28.0
2019-02-14,151883.0,0.004166666666666667,1034.89875,15.722222222222221,6.716666666666666,261.6666666666667,10.983333333333334,52.375,3.5541666666666667,81.0,21583.333333333332,263.75,17.337500000000002,010 Wedding,mc010,pm10,pm10_24h,24h,26.0
2019-02-15,151883.0,0.0,1033.3229166666667,28.333333333333332,5.683333333333334,252.91666666666666,4.8875,22.666666666666668,-1.4791666666666667,65.16666666666667,36458.333333333336,241.66666666666666,8.916666666666666,010 Wedding,mc010,pm10,pm10_24h,24h,27.0
2019-02-16,151883.0,0.0,1026.1770833333333,28.61111111111111,7.5125,204.16666666666666,8.041666666666666,7.583333333333333,-0.9041666666666667,58.958333333333336,42708.333333333336,202.91666666666666,13.875,010 Wedding,mc010,pm10,pm10_24h,24h,18.0
2019-02-17,151883.0,0.0,1024.17625,28.055555555555557,6.3500000000000005,141.66666666666666,4.9875,46.125,0.4458333333333333,68.45833333333333,25833.333333333332,175.0,9.5875,010 Wedding,mc010,pm10,pm10_24h,24h,29.0
2019-02-18,151883.0,0.0,1018.9458333333333,29.0,8.1,188.75,6.020833333333333,36.791666666666664,0.6375000000000001,61.791666666666664,24625.0,192.91666666666666,11.245833333333332,010 Wedding,mc010,pm10,pm10_24h,24h,35.0
2019-02-19,151883.0,0.04583333333333334,1015.0458333333332,0.5555555555555556,6.458333333333333,236.25,17.279166666666665,77.41666666666667,1.7708333333333333,72.45833333333333,28250.0,237.08333333333334,28.075,010 Wedding,mc010,pm10,pm10_24h,24h,24.0
2019-02-20,151883.0,0.0,1020.7791666666667,3.388888888888889,7.108333333333333,258.75,16.170833333333334,87.66666666666667,2.9458333333333333,75.25,32916.666666666664,258.3333333333333,24.270833333333332,010 Wedding,mc010,pm10,pm10_24h,24h,19.0
2019-02-21,151883.0,0.10833333333333334,1023.14125,3.2777777777777777,8.145833333333334,260.8333333333333,16.508333333333333,96.33333333333333,4.920833333333333,80.54166666666667,17866.666666666668,258.3333333333333,27.041666666666668,010 Wedding,mc010,pm10,pm10_24h,24h,26.0
2019-02-22,151883.0,0.008333333333333333,1037.1225,24.666666666666668,3.420833333333333,121.25,14.641666666666666,53.958333333333336,-2.4791666666666665,67.45833333333333,38500.0,140.0,28.229166666666668,010 Wedding,mc010,pm10,pm10_24h,24h,10.0
2019-02-23,151883.0,0.0,1043.8279166666666,26.555555555555557,0.7916666666666666,149.16666666666666,10.404166666666667,62.166666666666664,-9.470833333333333,47.75,42083.333333333336,149.16666666666666,19.208333333333332,010 Wedding,mc010,pm10,pm10_24h,24h,18.0
2019-02-24,151883.0,0.0,1039.1820833333334,23.88888888888889,3.9,241.25,4.8500000000000005,35.083333333333336,-7.179166666666667,47.458333333333336,39375.0,231.25,8.754166666666666,010 Wedding,mc010,pm10,pm10_24h,24h,22.0
2019-02-25,151883.0,0.0,1036.5679166666666,30.38888888888889,5.783333333333334,285.0,7.329166666666667,55.916666666666664,-1.0374999999999999,62.291666666666664,24583.333333333332,288.3333333333333,12.120833333333332,010 Wedding,mc010,pm10,pm10_24h,24h,31.0
2019-02-26,151883.0,0.0,1032.8187500000001,3.4444444444444446,5.479166666666667,270.0,6.895833333333333,59.625,1.5208333333333333,76.45833333333333,13375.0,280.0,12.191666666666665,010 Wedding,mc010,pm10,pm10_24h,24h,45.0
2019-02-27,151883.0,0.0,1025.0570833333334,31.0,7.204166666666667,223.75,8.141666666666667,21.208333333333332,-1.1583333333333334,62.041666666666664,18420.833333333332,244.16666666666666,13.75,010 Wedding,mc010,pm10,pm10_24h,24h,41.0
2019-02-28,151883.0,0.0,1011.4499999999999,23.38888888888889,7.1625000000000005,280.4166666666667,14.325000000000001,52.416666666666664,1.8125,69.625,17750.0,275.0,23.666666666666668,010 Wedding,mc010,pm10,pm10_24h,24h,43.0
2019-03-01,151883.0,0.0,1012.2125,0.0,4.2875000000000005,303.75,7.441666666666666,96.20833333333333,0.9583333333333334,79.375,18083.333333333332,275.8333333333333,14.0375,010 Wedding,mc010,pm10,pm10_24h,24h,36.0
2019-03-02,151883.0,0.0,1014.8083333333334,0.05555555555555555,4.020833333333333,236.66666666666666,10.520833333333334,95.125,-0.5291666666666667,72.75,31500.0,235.41666666666666,16.866666666666667,010 Wedding,mc010,pm10,pm10_24h,24h,19.0
2019-03-03,151883.0,0.09999999999999999,1005.4666666666667,0.0,8.970833333333333,219.58333333333334,22.537499999999998,96.75,6.166666666666667,82.79166666666667,19375.0,222.08333333333334,37.0375,010 Wedding,mc010,pm10,pm10_24h,24h,15.0
2019-03-04,151883.0,0.18333333333333335,992.9916666666667,5.888888888888889,9.725,222.08333333333334,29.1875,73.75,4.170833333333333,69.08333333333333,40625.0,223.75,51.5875,010 Wedding,mc010,pm10,pm10_24h,24h,10.0
2019-03-05,151883.0,0.06666666666666667,1002.0,9.88888888888889,5.9375,253.33333333333334,28.304166666666664,62.625,1.3625,73.04166666666667,42916.666666666664,250.83333333333334,44.916666666666664,010 Wedding,mc010,pm10,pm10_24h,24h,11.0
2019-03-06,151883.0,0.0,1007.6625,20.72222222222222,6.970833333333334,175.83333333333334,16.095833333333335,69.04166666666667,1.3875,69.29166666666667,35833.333333333336,173.33333333333334,26.866666666666664,010 Wedding,mc010,pm10,pm10_24h,24h,15.0
2019-03-07,151883.0,0.06666666666666667,996.9791666666666,4.777777777777778,10.758333333333333,192.08333333333334,20.650000000000002,78.95833333333333,4.0249999999999995,64.20833333333333,39791.666666666664,192.91666666666666,35.041666666666664,010 Wedding,mc010,pm10,pm10_24h,24h,11.0
2019-03-08,151883.0,0.05000000000000001,1005.5083333333333,12.166666666666666,7.729166666666667,242.91666666666666,30.7625,60.75,1.5291666666666668,65.04166666666667,45833.333333333336,244.16666666666666,51.19166666666666,010 Wedding,mc010,pm10,pm10_24h,24h,8.0
2019-03-09,151883.0,0.2625,1005.1458333333334,4.777777777777778,7.354166666666667,237.91666666666666,28.541666666666668,84.70833333333333,2.6750000000000003,73.16666666666667,37041.666666666664,238.75,51.27916666666667,010 Wedding,mc010,pm10,pm10_24h,24h,9.0
2019-03-10,151883.0,0.5750000000000001,1003.0541666666667,2.111111111111111,4.5,218.33333333333334,18.625,89.91666666666667,1.3416666666666668,80.45833333333333,30341.666666666668,231.25,30.383333333333336,010 Wedding,mc010,pm10,pm10_24h,24h,9.0
2019-03-11,151883.0,0.12083333333333333,1010.4375,1.6666666666666667,3.0749999999999997,265.0,22.920833333333334,86.79166666666667,0.9083333333333333,86.0,29375.0,265.0,38.612500000000004,010 Wedding,mc010,pm10,pm10_24h,24h,9.0
2019-03-12,151883.0,0.004166666666666667,1015.0083333333333,8.222222222222221,5.470833333333334,229.16666666666666,20.037499999999998,91.95833333333333,0.15416666666666665,70.79166666666667,37083.333333333336,226.25,34.30833333333333,010 Wedding,mc010,pm10,pm10_24h,24h,14.0
2019-03-13,151883.0,0.05416666666666667,1001.2916666666666,9.444444444444445,7.4375,220.41666666666666,31.037499999999998,89.91666666666667,0.3833333333333333,61.916666666666664,41958.333333333336,222.08333333333334,52.449999999999996,010 Wedding,mc010,pm10,pm10_24h,24h,9.0
2019-03-14,151883.0,0.3875,997.5083333333333,0.3888888888888889,5.8374999999999995,232.5,25.59166666666667,97.83333333333333,3.4,84.66666666666667,21833.333333333332,237.08333333333334,42.59583333333333,010 Wedding,mc010,pm10,pm10_24h,24h,9.0
2019-03-15,151883.0,0.0375,997.7416666666667,1.9444444444444444,7.575,260.0,31.099999999999998,78.41666666666667,3.420833333333333,75.45833333333333,35166.666666666664,257.5,52.50416666666666,010 Wedding,mc010,pm10,pm10_24h,24h,8.0
2019-03-16,151883.0,0.24166666666666667,1004.1916666666666,0.7222222222222222,6.754166666666666,237.08333333333334,23.5125,86.83333333333333,3.0208333333333335,77.79166666666667,29041.666666666668,236.25,38.44583333333333,010 Wedding,mc010,pm10,pm10_24h,24h,11.0
2019-03-17,151883.0,0.06666666666666667,1000.8958333333334,6.722222222222222,8.375,225.0,24.400000000000002,83.04166666666667,3.9583333333333335,74.08333333333333,42916.666666666664,223.75,39.1875,010 Wedding,mc010,pm10,pm10_24h,24h,7.0
2019-03-18,151883.0,0.09583333333333333,1011.2875,9.5,4.925,245.83333333333334,28.641666666666666,64.79166666666667,0.8458333333333333,75.20833333333333,44375.0,247.5,46.00416666666666,010 Wedding,mc010,pm10,pm10_24h,24h,8.0
2019-03-19,151883.0,0.0,1025.0820833333335,13.833333333333334,4.779166666666667,277.9166666666667,15.520833333333334,54.541666666666664,-0.25833333333333336,71.0,39166.666666666664,272.5,25.754166666666666,010 Wedding,mc010,pm10,pm10_24h,24h,13.0
2019-03-20,151883.0,0.0,1032.4183333333333,25.833333333333332,7.004166666666666,255.41666666666666,13.641666666666666,50.333333333333336,1.1500000000000001,68.70833333333333,37500.0,258.75,23.0125,010 Wedding,mc010,pm10,pm10_24h,24h,21.0
2019-03-21,151883.0,0.0,1033.4854166666667,1.1111111111111112,9.520833333333334,262.0833333333333,11.870833333333332,75.83333333333333,6.604166666666667,82.29166666666667,13954.166666666666,258.3333333333333,18.458333333333332,010 Wedding,mc010,pm10,pm10_24h,24h,29.0
2019-03-22,151883.0,0.0,1032.1941666666667,3.5555555555555554,8.729166666666666,162.08333333333334,7.1499999999999995,69.16666666666667,6.845833333333334,88.20833333333333,7789.583333333333,162.91666666666666,14.033333333333333,010 Wedding,mc010,pm10,pm10_24h,24h,30.0
2019-03-23,151883.0,0.0,1027.1191666666666,27.055555555555557,9.645833333333334,247.5,10.383333333333333,49.291666666666664,6.533333333333334,81.83333333333333,9983.333333333334,251.25,19.150000000000002,010 Wedding,mc010,pm10,pm10_24h,24h,35.0
